spot_name,index spot,weather,temperature,traffic_time,satisfaction
Ahuntsic,0,0,30.5,31.4,0
VanHorne,1,0,30.5,31.4,0
Verdun,2,0,30.5,31.4,0
Lasalle,3,0,30.5,31.4,0
Préfontaine,4,0,30.5,31.4,0
Boucherville,5,0,30.5,31.4,0
Taz,6,0,30.5,31.4,1
Spin,7,0,30.5,31.4,1
Saint Jérome,8,0,30.5,31.4,0
Saint Sauveur,9,0,30.5,31.4,0
Assomption,10,0,30.5,31.4,0
Benny,11,0,30.5,31.4,0
Dorval,12,0,30.5,31.4,0
Magog,13,0,30.5,31.4,0
Berthierville,14,0,30.5,31.4,0
Ahuntsic,0,2,22.4,37.4,1
VanHorne,1,2,22.4,37.4,0
Verdun,2,2,22.4,37.4,0
Lasalle,3,2,22.4,37.4,1
Préfontaine,4,2,22.4,37.4,0
Boucherville,5,2,22.4,37.4,0
Taz,6,2,22.4,37.4,0
Spin,7,2,22.4,37.4,0
Saint Jérome,8,2,22.4,37.4,1
Saint Sauveur,9,2,22.4,37.4,0
Assomption,10,2,22.4,37.4,1
Benny,11,2,22.4,37.4,1
Dorval,12,2,22.4,37.4,1
Magog,13,2,22.4,37.4,0
Berthierville,14,2,22.4,37.4,0
Ahuntsic,0,0,24.6,20.6,0
VanHorne,1,0,24.6,20.6,0
Verdun,2,0,24.6,20.6,0
Lasalle,3,0,24.6,20.6,0
Préfontaine,4,0,24.6,20.6,0
Boucherville,5,0,24.6,20.6,0
Taz,6,0,24.6,20.6,1
Spin,7,0,24.6,20.6,1
Saint Jérome,8,0,24.6,20.6,0
Saint Sauveur,9,0,24.6,20.6,0
Assomption,10,0,24.6,20.6,0
Benny,11,0,24.6,20.6,0
Dorval,12,0,24.6,20.6,0
Magog,13,0,24.6,20.6,0
Berthierville,14,0,24.6,20.6,0
Ahuntsic,0,2,17.8,16.3,1
VanHorne,1,2,17.8,16.3,0
Verdun,2,2,17.8,16.3,0
Lasalle,3,2,17.8,16.3,1
